id,facility_code,mappings,registration_number,facility_name,common_name,physical_address,postal_address,village,ta,contact_person_fullname,contact_person_phone,contact_person_email,district,district_code,facility_type,datum,langitude,latitude,catchment_area,catchment_population,operational_status,ownership,regulatory_status,Other inpatient beds,Motor Vehicle Ambulances,Motor cycles,Bicycles,Motor Bike Ambulances,Vehicles/Cars,Other,Delivery beds,Maternity beds,Total overningt beds,20 watts generators,30 watts generators,40 watts generator,50 watts generator,Laptop,Desktop,Staff houses,Public tap/stand pipe,Generator,Piped into health facility,Piped into facility ground,Tube well/borehole,Tanker truck,No electricity,Solar panels,Wired for electricity,Connected to ESCOM Grid,Near ESCOM Grid,Rainwater harvesting,National Grid,Protected dug well,protected spring,Unprotected dug well,unprotected spring,surface water(Dam/Lake/River/Pond,Other,Incinerator,Placenta pit,Rubbish pit,Toilet,Pit latrine,Staff training in waste management last 2 years,Chamber industrial,Chamber drum,Flat ground,Protected ground,Pit no protection,Protected ground or pit,Covered container,Other protected environment,Other,Non sharp chamber industrial,Non sharp chamber drum,Non sharp flat ground,Non sharp pit protected ground,Non sharp covered pit,Non sharp open pit,Non sharp protected_ground,Non sharp covered container,Non sharp other protected environment,Non sharp other,Airtel,TNM,Access,MTL,Other,GWAN,Skyband,Globe
12,LL040012,"[{""url"": ""https://dhis2.health.gov.mw/api/organisationUnits/E3kLgwow7On.json"", ""code"": ""E3kLgwow7On"", ""system"": ""DHIS2""}, {""url"": ""https://lmis.health.gov.mw"", ""code"": ""LL4041"", ""system"": ""OpenLMIS""}, {""url"": ""https://lmis.health.gov.mw"", ""code"": ""LL4041"", ""system"": ""OpenLMIS""}, {""url"": ""https://www.hiv.health.gov.mw/"", ""code"": ""1222"", ""system"": ""DHAMIS""}]",MCM/C/06,Adventist Health Centre Area 15,Adventist,Kuunika,"p.o. box 1234, Kuunika",Kuunika,,John Bands,111234567,johnbanda@kuunika.org,Lilongwe,LL,Health Centre,,33.78,-13.95,urban,0,Functional,Christian Health Association of Malawi (CHAM),Registered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,LL040013,[],MCM/C/264,Africa Leaf Clinic Kanengo,Africa Leaf Clinic Kanengo,Kuunika,"p.o. box 1234, Kuunika",Kuunika,none,John Bands,111234567,johnbanda@kuunika.org,Lilongwe,LL,Clinic,WGS 84,33.80,-13.89,urban,0,Non-functional,Private,Registered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,ZA230014,"[{""url"": ""https://dhis2.health.gov.mw/api/organisationUnits/VoTfUk9ncoD.json"", ""code"": ""VoTfUk9ncoD"", ""system"": ""DHIS2""}, {""url"": ""https://lmis.health.gov.mw"", ""code"": ""ZA2753"", ""system"": ""OpenLMIS""}, {""url"": ""https://lmis.health.gov.mw"", ""code"": ""ZA2753"", ""system"": ""OpenLMIS""}, {""url"": ""https://www.hiv.health.gov.mw/"", ""code"": ""809"", ""system"": ""DHAMIS""}]",Not available,MAIMED HEALTH CARE SERVICES,AHI,Zomba city petroda filling station,Maimed Clinic P.O BOX 1040 Blantryre,Kuunika,Chikowi,Thoko Chakwana,882757706,matron@maimed.org,Zomba,ZA,Clinic,WGS 84,35.32,-15.38,urban,0,Functional,Private,Registered,,,,,,,,,,,,,,,,2,2,,,TRUE,TRUE,,,,,,TRUE,TRUE,,TRUE,,,,,,,TRUE,,TRUE,TRUE,TRUE,,,TRUE,,,,,TRUE,,,,TRUE,,,,,,,,,TRUE,TRUE,,,,,TRUE,
15,ZA230015,"[{""url"": ""https://dhis2.health.gov.mw/api/organisationUnits/FLu5HmxHlNM.json"", ""code"": ""FLu5HmxHlNM"", ""system"": ""DHIS2""}]",Not available,Airwing Dispensary,Airwing,Matawale,"Zomba DHO, P/bag 18, Zomba",Kuunika,Kuntumanje,Facility Incharge,998213411,zombadho@gmail.com,Zomba,ZA,Clinic,WGS 84,35.39,-15.39,Rural,0,Functional,Government,Registered,,,1,,,1,,,,,,,,,,1,1,TRUE,,TRUE,TRUE,,,,,,TRUE,TRUE,,TRUE,,,,,,,,,TRUE,TRUE,,,,TRUE,,,,,TRUE,,,,,,,,TRUE,,,,,TRUE,TRUE,,,,,,
16,LL040016,"[{""url"": ""https://dhis2.health.gov.mw/api/organisationUnits/FLu5HmxHlNM.json"", ""code"": ""FLu5HmxHlNM"", ""system"": ""DHIS2""}]",,Airwing Health Post,Airwing,Kuunika,"p.o. box 1234, Kuunika",Kuunika,Njewa,John Bands,111234567,johnbanda@kuunika.org,Lilongwe,LL,Dispensary,WGS 84,33.70,-13.96,urban,0,Non-functional,Government,Registered (Pending Certification),,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,TRUE,TRUE,,,,,,,,TRUE,,TRUE,,,,,,,TRUE,TRUE,,,,,,
17,NU120017,[],PA/796,Akalole pvt clinic,Akalole Clinic,Kuunika,"p.o. box 1234, Kuunika",Kuunika,Chakhumbira,John Bands,111234567,johnbanda@kuunika.org,Ntcheu,NU,Clinic,WGS 84,34.46,-14.51,urban,0,Non-functional,Mission/Faith-based (other than CHAM),Registered,,,1,,,1,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,TRUE,,,TRUE,TRUE,,,,,,
18,CZ260018,"[{""url"": ""https://dhis2.health.gov.mw/api/organisationUnits/qNuRHXJ2P3m.json"", ""code"": ""qNuRHXJ2P3m"", ""system"": ""DHIS2""}, {""url"": ""https://www.hiv.health.gov.mw/"", ""code"": ""1371"", ""system"": ""DHAMIS""}]",,Akasale Private Clinic,Akasale,Kuunika,"p.o. box 1234, Kuunika",Kuunika,Likoswe,"P.o. box 21, Chiradzulu",111234567,johnbanda@kuunika.org,Chiradzulu,CZ,Hospital,WGS 84,35.11,-15.76,urban,0,Non-functional,Private,Registered (Pending Certification),,,1,,,1,,,,,,,,,,2,2,TRUE,,TRUE,TRUE,,,,,,TRUE,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,TRUE,TRUE,,,,,,
19,KK100019,"[{""url"": ""https://dhis2.health.gov.mw/api/organisationUnits/Y46sxDDIkfz.json"", ""code"": ""Y46sxDDIkfz"", ""system"": ""DHIS2""}, {""url"": ""https://lmis.health.gov.mw"", ""code"": ""KK1113"", ""system"": ""OpenLMIS""}, {""url"": ""https://lmis.health.gov.mw"", ""code"": ""KK1113"", ""system"": ""OpenLMIS""}, {""url"": ""https://www.hiv.health.gov.mw/"", ""code"": ""344"", ""system"": ""DHAMIS""}]",MCM/CHAM/HC/36,Alinafe Community Hospital,Alinafe,Benga,"Alinafe community hospital p/bag 5, Nkhotakota",Kuunika,Mwadzama,Sr Magadalene Ndawala,884558978,Alinafehospital@gmail.com,Nkhotakota,KK,Hospital,WGS 84,34.24,-13.39,Rural,14736,Functional,Christian Health Association of Malawi (CHAM),Registered,47,,1,1,,1,,5,12,42,,,,,,8,8,,,TRUE,,,,,TRUE,,TRUE,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,TRUE,,TRUE,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,,,,,
20,MHG190020,"[{""url"": ""https://dhis2.health.gov.mw/api/organisationUnits/Y46sxDDIkfz.json"", ""code"": ""Y46sxDDIkfz"", ""system"": ""DHIS2""}, {""url"": ""https://lmis.health.gov.mw"", ""code"": ""KK1113"", ""system"": ""OpenLMIS""}, {""url"": ""https://lmis.health.gov.mw"", ""code"": ""KK1113"", ""system"": ""OpenLMIS""}, {""url"": ""https://www.hiv.health.gov.mw/"", ""code"": ""344"", ""system"": ""DHAMIS""}]",,Alinafe Private,Alinafe,Kuunika,"p.o. box 1234, Kuunika",Kuunika,,DHO,111234567,machingadho@gmail.com,Machinga,MHG,Clinic,WGS 84,35.44,-14.80,urban,0,Non-functional,Private,Registered (Pending Certification),,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,
21,MH200021,[],MCM/PA/547,Alinafe private clinic,Alinafe Private Clinic,Mangochi,Mangochi,Kuunika,mponda,Indian Papa2,111234567,johnbanda@kuunika.org,Mangochi,MH,Clinic,WGS 84,35.26,-14.48,urban,0,Functional,Private,Registered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,,,TRUE,TRUE,,,,,,
22,MC010022,[],MCM/PA/518,Alinafe Private Clinic,Alinafe Private Clinic,Kuunika,"p.o. box 1234, Kuunika",Kuunika,Zulu,John Bands,111234567,johnbanda@kuunika.org,Mchinji,MC,Clinic,WGS 84,33.04,-13.83,urban,0,Functional,Private,Registered (Pending Certification),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,,,,
23,LL040023,"[{""url"": ""https://dhis2.health.gov.mw/api/organisationUnits/wDyK6ODo0vg.json"", ""code"": ""wDyK6ODo0vg"", ""system"": ""DHIS2""}, {""url"": ""https://lmis.health.gov.mw"", ""code"": ""LL4047"", ""system"": ""OpenLMIS""}, {""url"": ""https://lmis.health.gov.mw"", ""code"": ""LL4047"", ""system"": ""OpenLMIS""}, {""url"": ""https://www.hiv.health.gov.mw/"", ""code"": ""3"", ""system"": ""DHAMIS""}]",MCM/C/038,Alliance One Clinic,Alliance one Clinic,KANENGO,P.O. BOX. 30522 LL3,Kuunika,Chitukula,Billy Chilewani,1710255,bchilewani@aointl.com,Lilongwe,LL,Clinic,WGS 84,33.80,-13.90,urban,0,Functional,Private,Registered,,,1,,,1,,,,,,,,,,3,3,TRUE,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,TRUE,,TRUE,TRUE,,,,,TRUE,
24,CK270024,"[{""url"": """", ""code"": ""3323"", ""system"": ""DHIS2""}]",MCM/C/100,Alumenda Estate Clinic,Alumenda Estate Clinic,Kuunika,"p.o. box 1234, Kuunika",Kuunika,,John Bands,111234567,johnbanda@kuunika.org,Chikwawa,CK,Clinic,,,,urban,0,Functional,Private,Registered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,CK270025,"[{""url"": ""https://dhis2.health.gov.mw/api/organisationUnits/NG36oCEzUcC.json"", ""code"": ""NG36oCEzUcC"", ""system"": ""DHIS2""}, {""url"": ""https://lmis.health.gov.mw"", ""code"": ""CK3359"", ""system"": ""OpenLMIS""}, {""url"": ""https://lmis.health.gov.mw"", ""code"": ""CK3359"", ""system"": ""OpenLMIS""}, {""url"": ""https://www.hiv.health.gov.mw/"", ""code"": ""1181"", ""system"": ""DHAMIS""}]",,Alumenda Health Centre,Alumenda,Kuunika,"p.o. box 1234, Kuunika",Kuunika,NGabu,John Bands,111234567,johnbanda@kuunika.org,Chikwawa,CK,Health Centre,WGS 84,34.89,-16.40,urban,0,Non-functional,Private,Registered (Pending Certification),,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,TRUE,,,,TRUE,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,TRUE,,,
26,TO310026,"[{""url"": ""https://dhis2.health.gov.mw/api/organisationUnits/lIGQGBEICWx.json"", ""code"": ""lIGQGBEICWx"", ""system"": ""DHIS2""}, {""url"": ""https://lmis.health.gov.mw"", ""code"": ""TO3126"", ""system"": ""OpenLMIS""}, {""url"": ""https://lmis.health.gov.mw"", ""code"": ""TO3126"", ""system"": ""OpenLMIS""}, {""url"": ""https://www.hiv.health.gov.mw/"", ""code"": ""644"", ""system"": ""DHAMIS""}]",0,Amalika Dispensary,Amalika,"Thyolo North, Malika Village, TA Bvumbwe","p.o. box 21, Thyolo",Kuunika,Bvumbwe,Christopher Nyadani,881587609,ajumbe@medcol.mw,Thyolo,TO,Dispensary,WGS 84,35.03,-15.99,Rural,19274,Functional,Government,Registered,,,,1,,,,,,,,,,,,,,,,TRUE,,,,,,,TRUE,,,TRUE,,,,,,,,,TRUE,TRUE,TRUE,,,,TRUE,,,TRUE,TRUE,,,,,,,,TRUE,,TRUE,,TRUE,TRUE,TRUE,,,,,,
27,SA090027,[],MCM/DA/867,Amazing Private Clinic,Amazing,Kuunika,"p.o. box 1234, Kuunika",Kuunika,Maganga,John Bands,111234567,johnbanda@kuunika.org,Salima,SA,Clinic,WGS 84,34.62,-13.33,urban,0,Non-functional,Private,Registered,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,TRUE,TRUE,,,,,,
28,BT240028,"[{""url"": ""https://dhis2.health.gov.mw/api/organisationUnits/WehVfN1t0Aa.json"", ""code"": ""WehVfN1t0Aa"", ""system"": ""DHIS2""}, {""url"": ""https://lmis.health.gov.mw"", ""code"": ""BT5077"", ""system"": ""OpenLMIS""}, {""url"": ""https://lmis.health.gov.mw"", ""code"": ""BT5077"", ""system"": ""OpenLMIS""}]",0,AMECA (Chilaweni),AMECA (Chilaweni),"Malunga village, Near Chilaweni Primary school opposite Chilaweni Day Sec",P.O. Box 66 Blantyre,Kuunika,Machinjiri,Annie Gwadani,882444321,blantyredho@gmail.com,Blantyre,BT,Clinic,WGS 84,35.04,-15.70,Rural,0,Functional,Government,Registered,,,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,TRUE,,,TRUE,,,,,,,TRUE,TRUE,,TRUE,TRUE,,,TRUE,,,,,,,,,,,TRUE,,,,,,,TRUE,TRUE,,,,,,
29,BT240029,[],,Amitofo Health care centre,Amitofo,Kuunika,"p.o. box 1234, Kuunika",Kuunika,,John Bands,111234567,johnbanda@kuunika.org,Blantyre,BT,Health Centre,,,,urban,0,Functional,Non-Government,Registered (Pending Certification),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,KU070030,"[{""url"": ""https://dhis2.health.gov.mw/api/organisationUnits/lXEN2NtidAc.json"", ""code"": ""lXEN2NtidAc"", ""system"": ""DHIS2""}, {""url"": ""https://lmis.health.gov.mw"", ""code"": ""KU1061"", ""system"": ""OpenLMIS""}, {""url"": ""https://lmis.health.gov.mw"", ""code"": ""KU1061"", ""system"": ""OpenLMIS""}]",378,Anchor Farm,Anchor Farm,Santhe,"C/O Box 19, Kasungu",Kuunika,,Mathero Kamwendo,994194496,mathero@yahoo.com,Kasungu,KU,Health Centre,,33.39,-13.41,Rural,17739,Functional,Government,Registered (Pending Certification),,,,,,,,,,,,,,,,,,TRUE,,TRUE,TRUE,,,,,TRUE,TRUE,TRUE,,TRUE,,,,,,,TRUE,TRUE,,TRUE,TRUE,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,
31,KU070031,[],,Anchor health centre,Anchor Healthy Centre,Kuunika,"p.o. box 1234, Kuunika",Kuunika,Santhe,John Bands,111234567,johnbanda@kuunika.org,Kasungu,KU,Health Centre,WGS 84,33.39,-13.41,urban,0,Non-functional,Government,Registered (Pending Certification),,,1,1,,,,,,,,,,,,1,1,,,,,,,,,TRUE,,,,,,,,,,,,,,TRUE,,,,TRUE,TRUE,TRUE,,,TRUE,,,,,,TRUE,,,TRUE,,,,,,,,,,,
32,BT240032,[],5041,Aquid Lifeline Project,Aquid Lifeline Clinic,Kuunika,"p.o. box 1234, Kuunika",Kuunika,Kapeni,John Bands,111234567,johnbanda@kuunika.org,Blantyre,BT,Clinic,WGS 84,35.06,-15.62,urban,0,Functional,Non-Government,Registered (Pending Certification),,,1,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,TRUE,TRUE,TRUE,TRUE,,,,
33,LL040033,"[{""url"": ""https://dhis2.health.gov.mw/api/organisationUnits/h2ls2FUTYDc.json"", ""code"": ""h2ls2FUTYDc"", ""system"": ""DHIS2""}, {""url"": ""https://lmis.health.gov.mw"", ""code"": ""LL1501"", ""system"": ""OpenLMIS""}, {""url"": ""https://lmis.health.gov.mw"", ""code"": ""LL1501"", ""system"": ""OpenLMIS""}, {""url"": ""https://www.hiv.health.gov.mw/"", ""code"": ""727"", ""system"": ""DHAMIS""}]",MCM/MOH/HC/120,Area 18 Health Centre,Area 18,AREA 18,C/O LLDHO BOX 1274 LL,Kuunika,chitukula,Kedson Masiyano,994753529,johnbanda@kuunika.org,Lilongwe,LL,Health Centre,WGS 84,33.78,-13.94,urban,220285,Functional,Government,Registered,,,,,,,,,,,,,,,,5,5,TRUE,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,,,,,,,,,TRUE,,,,,,,,,TRUE,TRUE,TRUE,TRUE,,,,
34,LL040034,"[{""url"": ""https://dhis2.health.gov.mw/api/organisationUnits/sXNwy8bRFub.json"", ""code"": ""sXNwy8bRFub"", ""system"": ""DHIS2""}, {""url"": ""https://lmis.health.gov.mw"", ""code"": ""LL4076"", ""system"": ""OpenLMIS""}, {""url"": ""https://lmis.health.gov.mw"", ""code"": ""LL4076"", ""system"": ""OpenLMIS""}, {""url"": ""https://www.hiv.health.gov.mw/"", ""code"": ""1265"", ""system"": ""DHAMIS""}]",0,Area 18 Medi Clinic,Area 18 Medi clinic,Kuunika,"p.o. box 1234, Kuunika",Kuunika,Chitukula,Asamala Health Services,111234567,johnbanda@kuunika.org,Lilongwe,LL,Clinic,WGS 84,33.77,-13.94,urban,0,Functional,Private,Registered (Pending Certification),21,,1,,,1,,2,6,19,,,,,,15,15,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,TRUE,,TRUE,,,,,,,TRUE,
35,LL040035,[],,Area 24 Private Clinic,Area 24 Private Clinic,Kuunika,"p.o. box 1234, Kuunika",Kuunika,,John Bands,111234567,johnbanda@kuunika.org,Lilongwe,LL,Clinic,WGS 84,33.80,-14.02,urban,0,Non-functional,Private,Registered (Pending Certification),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,LL040036,"[{""url"": ""https://dhis2.health.gov.mw/api/organisationUnits/CbwhI6UruPB.json"", ""code"": ""CbwhI6UruPB"", ""system"": ""DHIS2""}, {""url"": ""https://lmis.health.gov.mw"", ""code"": ""LL4042"", ""system"": ""OpenLMIS""}, {""url"": ""https://lmis.health.gov.mw"", ""code"": ""LL4042"", ""system"": ""OpenLMIS""}, {""url"": ""https://www.hiv.health.gov.mw/"", ""code"": ""1300"", ""system"": ""DHAMIS""}]",MCM/C/062,Area 25 BLM,Banja la mtsogolo,Kuunika,"p.o. box 1234, Kuunika",Kuunika,Chitukula,John Bands,111234567,johnbanda@kuunika.org,Lilongwe,LL,Clinic,WGS 84,33.76,-13.89,urban,0,Functional,Private,Registered,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,TRUE,TRUE,,,,,,TRUE,,,,,TRUE,,TRUE,,,TRUE,,,TRUE,
